allegiance,death_no,episode,killer,killers_house,location,method,name,season
None,58,10,Daenerys Targaryen,House Targaryen,Red Waste,Fire,Mirri Maz Duur,1
None,59,1,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Mace,Knight,2
House Targaryen,60,1,None,None,Red Waste,Starvation,The Silver,2
House Baratheon of Dragonstone,61,1,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Dragonstone,Poison,Maester Cressen,2
Smallfolk,62,1,Janos Slynt,Night's Watch,King's Landing,Knife,Barra (Baratheon illegitimate son),2
Smallfolk,63,1,City watch guard,House Lannister,King's Landing,Knife,Robert Baratheon's illegitimate son,2
Smallfolk,64,1,City watch guard,House Lannister,King's Landing,Water,Robert Baratheon's illegitimate son,2
Smallfolk,65,1,City watch guard,House Lannister,King's Landing,Unknown,Robert Baratheon's illegitimate son,2
House Targaryen,66,2,Rival Dothraki,Dothraki,Red Waste,Unknown,Rakharo,2
House Lannister,67,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2
House Lannister,68,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2
House Lannister,69,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2
House Lannister,70,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2
House Lannister,71,3,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,2
Night's Watch,72,3,Amory Lorch,House Lannister,Riverlands,Sword,Yoren,2
Night's Watch,73,3,Lannister soldier,House Lannister,Riverlands,Spear,Night's Watch recruit,2
Smallfolk,74,3,Polliver,House Baratheon of King's Landing,Riverlands,Sword,Lommy Greenhands,2
House Lannister,75,4,Grey Wind,House Stark,Oxcross,Teeth,Rennick,2
House Lannister,76,4,Grey Wind,House Stark,Oxcross,Teeth,Lannister soldier,2
None,77,4,The Tickler,House Clegane,Harrenhal,Rat,Prisoner,2
House Baratheon of Storm's End,78,5,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Storm's End,Shadow Demon,Renly Baratheon,2
House Baratheon of Storm's End,79,5,Brienne of Tarth,House Tarth,Storm's End,Sword,Baratheon of Storm's End guard,2
House Baratheon of Storm's End,80,5,Brienne of Tarth,House Tarth,Storm's End,Sword,Baratheon of Storm's End guard,2
House Clegane,81,5,Jaqen H'ghar,Faceless Men,Harrenhal,Unknown,The Tickler,2
House Stark,82,6,Theon Greyjoy,House Bolton,Winterfell,Sword,Rodrik Cassel,2
Free Folk,83,6,Night's Watch brother,Night's Watch,Beyond the Wall,Arrow,Wildling,2
Free Folk,84,6,Qhorin Halfhand,Night's Watch,Beyond the Wall,Sword,Wildling,2
Faith of the Seven,85,6,Peasants,None,King's Landing,Hands,High Septon,2
Smallfolk,86,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Peasant,2
Smallfolk,87,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Peasant,2
Smallfolk,88,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Knife,Peasant,2
Smallfolk,89,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Knife,Peasant,2
Smallfolk,90,6,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Knife,Peasant,2
House Lannister,91,6,Jaqen H'ghar,Faceless Men,Harrenhal,Poison dart,Amory Lorch,2
House Greyjoy,92,6,Osha,House Stark,Winterfell,Knife,Drennan,2
House Targaryen,93,6,Unknown,Unknown,Qarth,Unknown,Irri,2
House Lannister,94,7,Jaime Lannister,House Lannister,Robb Stark's camp,Hands,Alton Lannister,2
House Stark,95,7,Jaime Lannister,House Lannister,Robb Stark's camp,Hands,Torrhen Karstark,2
The Thirteen,96,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,The Spice King,2
The Thirteen,97,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,The Silk King,2
The Thirteen,98,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,The Copper King,2
The Thirteen,99,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
The Thirteen,100,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
The Thirteen,101,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
The Thirteen,102,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
The Thirteen,103,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
The Thirteen,104,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
The Thirteen,105,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
The Thirteen,106,7,Pyat Pree,Warlocks of Qarth,Qarth,Knife,Member of the Thirteen,2
Smallfolk,107,7,Theon Greyjoy,House Bolton,Winterfell,Fire,Billy,2
Smallfolk,108,7,Theon Greyjoy,House Bolton,Winterfell,Fire,Jack,2
House Baratheon of Dragonstone,109,9,Bronn,House Lannister,King's Landing,Wildfire,Matthos Seaworth,2
House Baratheon of Dragonstone,110,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,111,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,112,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,113,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,114,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,115,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,116,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,117,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,118,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,119,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,120,9,Accident,Unknown,King's Landing,Blunt object,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,121,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,122,9,Bronn,House Lannister,King's Landing,Wildfire,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,123,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,124,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,125,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,126,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,127,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,128,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,129,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,130,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,131,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,132,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,133,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,134,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,135,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,136,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,137,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,138,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,139,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,140,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,141,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,142,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Flaming arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,143,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Boulder,Baratheon of Dragonstone soldier,2
House Baratheon of King's Landing,144,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,2
House Baratheon of King's Landing,145,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,2
House Baratheon of King's Landing,146,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,2
House Baratheon of King's Landing,147,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,2
House Baratheon of King's Landing,148,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,2
House Baratheon of Dragonstone,149,9,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,150,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,151,9,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,152,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,2
House Baratheon of King's Landing,153,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,2
House Baratheon of King's Landing,154,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Hands,Baratheon of King's Landing soldier,2
House Baratheon of Dragonstone,155,9,Bronn,House Lannister,King's Landing,Arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,156,9,Bronn,House Lannister,King's Landing,Knife,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,157,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Fire,Baratheon of Dragonstone soldier,2
House Baratheon of King's Landing,158,9,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2
House Baratheon of King's Landing,159,9,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2
House Baratheon of Dragonstone,160,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Boulder,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,161,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Boulder,Baratheon of Dragonstone soldier,2
House Baratheon of King's Landing,162,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,2
House Baratheon of King's Landing,163,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,2
House Baratheon of Dragonstone,164,9,Tyrion Lannister,House Lannister,King's Landing,Axe,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,165,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,166,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Unknown,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,167,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,2
House Baratheon of King's Landing,168,9,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2
House Baratheon of King's Landing,169,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Bludgeon,Baratheon of King's Landing soldier,2
House Baratheon of King's Landing,170,9,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2
House Moore,171,9,Podrick Payne,House Lannister,King's Landing,Spear,Mandon Moore,2
House Baratheon of King's Landing,172,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2
House Baratheon of Dragonstone,173,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Unknown,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,174,9,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,175,9,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,176,9,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,177,9,Lannister soldier,House Lannister,King's Landing,Sword,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,178,9,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,179,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Arrow,Baratheon of Dragonstone soldier,2
House Baratheon of Dragonstone,180,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Arrow,Baratheon of Dragonstone soldier,2
House Stark,181,10,Brienne of Tarth,House Tarth,Unknown,Sword,Stark soldier,2
House Stark,182,10,Brienne of Tarth,House Tarth,Unknown,Sword,Stark soldier,2
House Stark,183,10,Brienne of Tarth,House Tarth,Unknown,Sword,Stark soldier,2
House Stark,184,10,Osha,House Stark,Winterfell,Knife,Maester Luwin,2
Warlocks of Qarth,185,10,Daenerys Targaryen,House Targaryen,Qarth,Dragonfire (Dragon),Pyat Pree,2
Night's Watch,186,10,Jon Snow,House Stark,Beyond the Wall,Sword,Qhorin Halfhand,2
The Thirteen,187,10,Daenerys Targaryen,House Targaryen,Qarth,Sealed into vault,Xaro Xhoan Daxos,2
House Targaryen,188,10,Daenerys Targaryen,House Targaryen,Qarth,Sealed into vault,Doreah,2
None,189,1,Barristan Selmy,House Targaryen,Astapor,Knife,Manticore,3
House Tully,190,2,None,None,Riverrun,Illness,Hoster Tully,3
House Bolton,191,3,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,3
House Bolton,192,3,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,3
House Bolton,193,3,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,3
House Bolton,194,3,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,3
Night's Watch,195,4,None,None,Beyond the Wall,Broken foot,Bannen,3
Night's Watch,196,4,Karl Tanner,Night's Watch,Beyond the Wall,Knife,Craster,3
Night's Watch,197,4,Rast,Night's Watch,Beyond the Wall,Knife,Jeor Mormont,3
Brotherhood Without Banners,198,4,"Sandor ""the Hound"" Clegane",House Clegane,Hollow Hill,Sword,Beric Dondarrion,3
Good Masters,199,4,Unsullied,House Targaryen,Astapor,Spear,Astapor slaver,3
Good Masters,200,4,Unsullied,House Targaryen,Astapor,Spear,Astapor slaver,3
Good Masters,201,4,Daenerys Targaryen,House Targaryen,Astapor,Dragonfire (Dragon),Kraznys mo Nakloz,3
Good Masters,202,4,Unsullied,House Targaryen,Astapor,Spear,Astapor soldier,3
Good Masters,203,4,Unsullied,House Targaryen,Astapor,Spear,Astapor soldier,3
Good Masters,204,4,Unsullied,House Targaryen,Astapor,Spear,Astapor soldier,3
Good Masters,205,4,Unsullied,House Targaryen,Astapor,Spear,Astapor slaver,3
House Stark,206,5,Karstark soldier,House Karstark,Riverrun,Sword,Stark soldier,3
House Lannister,207,5,Karstark soldier,House Karstark,Riverrun,Unknown,Willem Lannister,3
House Lannister,208,5,Rickard Karstark,House Stark,Riverrun,Knife,Martyn Lannister,3
House Stark,209,5,Robb Stark,House Stark,Riverrun,Sword,Rickard Karstark,3
Free Folk,210,6,None,None,The Wall,Falling,Wildling,3
Free Folk,211,6,None,None,The Wall,Falling,Wildling,3
Free Folk,212,6,None,None,The Wall,Falling,Wildling,3
Free Folk,213,6,None,None,The Wall,Falling,Wildling,3
Free Folk,214,6,None,None,The Wall,Falling,Wildling,3
Free Folk,215,6,None,None,The Wall,Falling,Wildling,3
House Baelish,216,6,Joffrey Baratheon,House Lannister,King's Landing,Arrow,Ros,3
None,217,8,Stannis Baratheon,House Baratheon of Dragonstone,Dragonstone,Fire,Leech,3
None,218,8,Stannis Baratheon,House Baratheon of Dragonstone,Dragonstone,Fire,Leech,3
None,219,8,Stannis Baratheon,House Baratheon of Dragonstone,Dragonstone,Fire,Leech,3
Second Sons,220,8,Daario Naharis,House Targaryen,Yunkai,Unknown,Mero,3
Second Sons,221,8,Daario Naharis,House Targaryen,Yunkai,Unknown,Prendahl na Ghezn,3
None,222,8,Sam Tarly,Night's Watch,Beyond the Wall,Dragonglass,White Walker,3
Night's Watch,223,9,Ygritte,Free Folk,The Gift,Arrow,Horse breeder,3
Free Folk,224,9,Jon Snow,House Stark,The Gift,Sword,Wildling,3
Free Folk,225,9,Summer,House Stark,The Gift,Teeth,Wildling,3
Free Folk,226,9,Shaggydog,House Stark,The Gift,Teeth,Wildling,3
Free Folk,227,9,Jon Snow,House Stark,The Gift,Sword,Orell,3
Wise Masters,228,9,Jorah Mormont,House Targaryen,Yunkai,Sword,Yunkai soldier,3
Wise Masters,229,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3
Wise Masters,230,9,Grey Worm,House Targaryen,Yunkai,Spear,Yunkai soldier,3
Wise Masters,231,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3
Wise Masters,232,9,Jorah Mormont,House Targaryen,Yunkai,Sword,Yunkai soldier,3
Wise Masters,233,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3
Wise Masters,234,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3
Wise Masters,235,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3
Wise Masters,236,9,Grey Worm,House Targaryen,Yunkai,Spear,Yunkai soldier,3
Wise Masters,237,9,Daario Naharis,House Targaryen,Yunkai,Knife,Yunkai soldier,3
Wise Masters,238,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3
House Stark,239,9,Lothar Frey,House Frey,The Twins,Knife,Unborn Stark child,3
House Stark,240,9,Lothar Frey,House Frey,The Twins,Knife,Talisa Stark,3
House Stark,241,9,Frey soldier,House Frey,The Twins,Arrow,Stark soldier,3
House Stark,242,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,243,9,Frey soldier,House Frey,The Twins,Arrow,Stark soldier,3
House Stark,244,9,Frey soldier,House Frey,The Twins,Arrow,Stark soldier,3
House Stark,245,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,246,9,Frey soldier,House Frey,The Twins,Arrow,Stark soldier,3
House Stark,247,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,248,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,249,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,250,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,251,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,252,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,253,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,254,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,255,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,256,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,257,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,258,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,259,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,260,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,261,9,Frey soldier,House Frey,The Twins,Sword,Stark soldier,3
House Stark,262,9,Frey soldier,House Frey,The Twins,Arrow,Grey Wind,3
House Stark,263,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,264,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3
House Stark,265,9,Roose Bolton,House Bolton,The Twins,Knife,Robb Stark,3
House Frey,266,9,Catelyn Stark,House Stark,The Twins,Knife,Joyeuse Frey,3
House Stark,267,9,Walder Rivers,House Frey,The Twins,Knife,Catelyn Stark,3
House Stark,268,10,Frey soldier,House Frey,The Twins,Sword,Stark soldier,3
House Stark,269,10,Frey soldier,House Frey,The Twins,Hanging,Stark soldier,3
House Stark,270,10,Frey soldier,House Frey,The Twins,Sword,Stark soldier,3
House Frey,271,10,Arya Stark,House Stark,Riverlands,Knife,Frey soldier,3
House Frey,272,10,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Sword,Frey soldier,3
House Frey,273,10,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Sword,Frey soldier,3
House Frey,274,10,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Sword,Frey soldier,3
House Baratheon of King's Landing,275,1,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Sword,Baratheon of King's Landing soldier,4
