death_no,episode,killer,killers_house,location,method,name,season,count
147,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,2,1
148,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,2,1
149,9,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Baratheon of Dragonstone soldier,2,1
150,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,2,1
151,9,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Baratheon of Dragonstone soldier,2,1
152,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,2,1
153,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Axe,Baratheon of King's Landing soldier,2,1
155,9,Bronn,House Lannister,King's Landing,Arrow,Baratheon of Dragonstone soldier,2,1
156,9,Bronn,House Lannister,King's Landing,Knife,Baratheon of Dragonstone soldier,2,1
158,9,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2,1
159,9,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2,1
162,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,2,1
163,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Arrow,Baratheon of King's Landing soldier,2,1
164,9,Tyrion Lannister,House Lannister,King's Landing,Axe,Baratheon of Dragonstone soldier,2,1
165,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,2,1
167,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Sword,Baratheon of Dragonstone soldier,2,1
168,9,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2,1
170,9,Stannis Baratheon,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2,1
171,9,Podrick Payne,House Lannister,King's Landing,Spear,Mandon Moore,2,1
172,9,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,King's Landing,Sword,Baratheon of King's Landing soldier,2,1
174,9,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,2,1
175,9,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,2,1
176,9,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,2,1
177,9,Lannister soldier,House Lannister,King's Landing,Sword,Baratheon of Dragonstone soldier,2,1
178,9,Loras Tyrell,House Tyrell,King's Landing,Sword,Baratheon of Dragonstone soldier,2,1
179,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Arrow,Baratheon of Dragonstone soldier,2,1
180,9,Baratheon of King's Landing soldier,House Baratheon of King's Landing,King's Landing,Arrow,Baratheon of Dragonstone soldier,2,1
181,10,Brienne of Tarth,House Tarth,Unknown,Sword,Stark soldier,2,1
182,10,Brienne of Tarth,House Tarth,Unknown,Sword,Stark soldier,2,1
183,10,Brienne of Tarth,House Tarth,Unknown,Sword,Stark soldier,2,1
184,10,Osha,House Stark,Winterfell,Knife,Maester Luwin,2,1
185,10,Daenerys Targaryen,House Targaryen,Qarth,Dragonfire (Dragon),Pyat Pree,2,1
186,10,Jon Snow,House Stark,Beyond the Wall,Sword,Qhorin Halfhand,2,1
189,1,Barristan Selmy,House Targaryen,Astapor,Knife,Manticore,3,1
191,3,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,3,1
192,3,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,3,1
193,3,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,3,1
194,3,Ramsay Bolton,House Bolton,Dreadfort,Arrow,Bolton soldier,3,1
196,4,Karl Tanner,Night's Watch,Beyond the Wall,Knife,Craster,3,1
197,4,Rast,Night's Watch,Beyond the Wall,Knife,Jeor Mormont,3,1
198,4,"Sandor ""the Hound"" Clegane",House Clegane,Hollow Hill,Sword,Beric Dondarrion,3,1
199,4,Unsullied,House Targaryen,Astapor,Spear,Astapor slaver,3,1
200,4,Unsullied,House Targaryen,Astapor,Spear,Astapor slaver,3,1
201,4,Daenerys Targaryen,House Targaryen,Astapor,Dragonfire (Dragon),Kraznys mo Nakloz,3,1
202,4,Unsullied,House Targaryen,Astapor,Spear,Astapor soldier,3,1
203,4,Unsullied,House Targaryen,Astapor,Spear,Astapor soldier,3,1
204,4,Unsullied,House Targaryen,Astapor,Spear,Astapor soldier,3,1
205,4,Unsullied,House Targaryen,Astapor,Spear,Astapor slaver,3,1
206,5,Karstark soldier,House Karstark,Riverrun,Sword,Stark soldier,3,1
208,5,Rickard Karstark,House Stark,Riverrun,Knife,Martyn Lannister,3,1
209,5,Robb Stark,House Stark,Riverrun,Sword,Rickard Karstark,3,1
216,6,Joffrey Baratheon,House Lannister,King's Landing,Arrow,Ros,3,1
223,9,Ygritte,Free Folk,The Gift,Arrow,Horse breeder,3,1
224,9,Jon Snow,House Stark,The Gift,Sword,Wildling,3,1
227,9,Jon Snow,House Stark,The Gift,Sword,Orell,3,1
228,9,Jorah Mormont,House Targaryen,Yunkai,Sword,Yunkai soldier,3,1
229,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3,1
230,9,Grey Worm,House Targaryen,Yunkai,Spear,Yunkai soldier,3,1
231,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3,1
232,9,Jorah Mormont,House Targaryen,Yunkai,Sword,Yunkai soldier,3,1
233,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3,1
234,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3,1
235,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3,1
236,9,Grey Worm,House Targaryen,Yunkai,Spear,Yunkai soldier,3,1
237,9,Daario Naharis,House Targaryen,Yunkai,Knife,Yunkai soldier,3,1
238,9,Daario Naharis,House Targaryen,Yunkai,Arakh,Yunkai soldier,3,1
239,9,Lothar Frey,House Frey,The Twins,Knife,Unborn Stark child,3,1
240,9,Lothar Frey,House Frey,The Twins,Knife,Talisa Stark,3,1
241,9,Frey soldier,House Frey,The Twins,Arrow,Stark soldier,3,1
242,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
243,9,Frey soldier,House Frey,The Twins,Arrow,Stark soldier,3,1
244,9,Frey soldier,House Frey,The Twins,Arrow,Stark soldier,3,1
245,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
246,9,Frey soldier,House Frey,The Twins,Arrow,Stark soldier,3,1
247,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
248,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
249,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
250,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
251,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
252,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
253,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
254,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
255,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
256,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
257,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
258,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
259,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
260,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
261,9,Frey soldier,House Frey,The Twins,Sword,Stark soldier,3,1
262,9,Frey soldier,House Frey,The Twins,Arrow,Grey Wind,3,1
263,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
264,9,Frey soldier,House Frey,The Twins,Knife,Stark soldier,3,1
265,9,Roose Bolton,House Bolton,The Twins,Knife,Robb Stark,3,1
266,9,Catelyn Stark,House Stark,The Twins,Knife,Joyeuse Frey,3,1
267,9,Walder Rivers,House Frey,The Twins,Knife,Catelyn Stark,3,1
268,10,Frey soldier,House Frey,The Twins,Sword,Stark soldier,3,1
270,10,Frey soldier,House Frey,The Twins,Sword,Stark soldier,3,1
271,10,Arya Stark,House Stark,Riverlands,Knife,Frey soldier,3,1
272,10,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Sword,Frey soldier,3,1
273,10,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Sword,Frey soldier,3,1
274,10,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Sword,Frey soldier,3,1
275,1,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Sword,Baratheon of King's Landing soldier,4,1
276,1,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Knife,Lowell (King's Soldier),4,1
277,1,Arya Stark,House Stark,Riverlands,Sword,Baratheon of King's Landing soldier,4,1
278,1,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Sword,Baratheon of King's Landing soldier,4,1
279,1,Arya Stark,House Stark,Riverlands,Sword,Polliver,4,1
285,2,Olenna Tyrell,House Tyrell,King's Landing,Poison,Joffrey Baratheon,4,1
286,3,Baelish soldier,House Baelish,King's Landing,Arrow,Dontos Hollard,4,1
287,3,Ygritte,Free Folk,The Gift,Arrow,Guymon,4,1
288,3,Styr,Free Folk,The Gift,Axe,Olly's mum,4,1
290,3,Tormund,Free Folk,The Gift,Sword,Peasant,4,1
291,3,Tormund,Free Folk,The Gift,Sword,Peasant,4,1
292,3,Tormund,Free Folk,The Gift,Sword,Peasant,4,1
293,3,Tormund,Free Folk,The Gift,Sword,Peasant,4,1
294,3,Ygritte,Free Folk,The Gift,Sword,Peasant,4,1
295,3,Daario Naharis,House Targaryen,Meereen,Knife,Champion of Meereen's Horse,4,1
296,3,Daario Naharis,House Targaryen,Meereen,Arakh,Champion of Meereen,4,1
298,5,Eddison Tollett,Night's Watch,Beyond the Wall,Sword,Night's Watch mutineer,4,1
299,5,Locke,House Bolton,Beyond the Wall,Sword,Night's Watch mutineer,4,1
300,5,Locke,House Bolton,Beyond the Wall,Sword,Night's Watch mutineer,4,1
301,5,Night's Watch mutineer,Night's Watch,Beyond the Wall,Axe,Night's Watch brother,4,1
302,5,Night's Watch mutineer,Night's Watch,Beyond the Wall,Sword,Night's Watch brother,4,1
303,5,Jon Snow,House Stark,Beyond the Wall,Sword,Night's Watch mutineer,4,1
304,5,Night's Watch mutineer,Night's Watch,Beyond the Wall,Sword,Night's Watch brother,4,1
305,5,Jon Snow,House Stark,Beyond the Wall,Sword,Night's Watch mutineer,4,1
306,5,Eddison Tollett,Night's Watch,Beyond the Wall,Sword,Night's Watch mutineer,4,1
307,5,Jon Snow,House Stark,Beyond the Wall,Sword,Night's Watch mutineer,4,1
309,5,Jon Snow,House Stark,Beyond the Wall,Sword,Night's Watch mutineer,4,1
310,5,Karl Tanner,Night's Watch,Beyond the Wall,Knife,Night's Watch brother,4,1
311,5,Jon Snow,House Stark,Beyond the Wall,Sword,Karl Tanner,4,1
312,5,Grenn,Night's Watch,Beyond the Wall,Sword,Night's Watch mutineer,4,1
314,6,Yara Greyjoy,House Greyjoy,Dreadfort,Axe,Bolton soldier,4,1
315,6,Greyjoy soldier,House Greyjoy,Dreadfort,Knife,Bolton soldier,4,1
316,6,Greyjoy soldier,House Greyjoy,Dreadfort,Sword,Bolton soldier,4,1
317,6,Ramsay Bolton,House Bolton,Dreadfort,Knife,Greyjoy soldier,4,1
318,6,Yara Greyjoy,House Greyjoy,Dreadfort,Axe,Bolton soldier,4,1
319,6,Yara Greyjoy,House Greyjoy,Dreadfort,Axe,Bolton soldier,4,1
320,6,Daenerys Targaryen,House Targaryen,Meereen,Dragonfire (Dragon),Goat,4,1
321,7,"Gregor ""the Mountain"" Clegane",House Lannister,King's Landing,Sword,Prisoner,4,1
322,7,"Gregor ""the Mountain"" Clegane",House Lannister,King's Landing,Sword,Prisoner,4,1
323,7,"Gregor ""the Mountain"" Clegane",House Lannister,King's Landing,Sword,Prisoner,4,1
324,7,"Sandor ""the Hound"" Clegane",House Clegane,Riverlands,Knife,Peasant,4,1
326,7,Arya Stark,House Stark,Riverlands,Sword,Rorge,4,1
328,8,Thenn raider,Free Folk,Mole's Town,Knife,Peasant,4,1
329,8,Tormund,Free Folk,Mole's Town,Sword,Peasant,4,1
330,8,Ygritte,Free Folk,Mole's Town,Spear,Peasant,4,1
331,8,Ygritte,Free Folk,Mole's Town,Spear,Peasant,4,1
332,8,Styr,Free Folk,Mole's Town,Axe,Peasant,4,1
333,8,Styr,Free Folk,Mole's Town,Axe,Peasant,4,1
334,8,Tormund,Free Folk,Mole's Town,Sword,Peasant,4,1
335,8,Tormund,Free Folk,Mole's Town,Sword,Peasant,4,1
336,8,Ygritte,Free Folk,Mole's Town,Spear,Peasant,4,1
337,8,Ygritte,Free Folk,Mole's Town,Knife,Peasant,4,1
338,8,Greyjoy soldier,House Greyjoy,Moat Cailin,Axe,Ralf Kenning,4,1
340,9,Night's Watch brother,Night's Watch,Castle Black,Flaming arrow,Wildling,4,1
341,9,Night's Watch brother,Night's Watch,Castle Black,Flaming arrow,Wildling,4,1
342,9,Ygritte,Free Folk,Castle Black,Flaming arrow,Night's Watch brother,4,1
343,9,Night's Watch brother,Night's Watch,Beyond the Wall,Flaming arrow,Wildling,4,1
344,9,Night's Watch brother,Night's Watch,Beyond the Wall,Flaming arrow,Wildling,4,1
345,9,Night's Watch brother,Night's Watch,Beyond the Wall,Flaming arrow,Wildling,4,1
346,9,Night's Watch brother,Night's Watch,Beyond the Wall,Flaming arrow,Wildling,4,1
347,9,Ygritte,Free Folk,Castle Black,Flaming arrow,Night's Watch brother,4,1
348,9,Ygritte,Free Folk,Castle Black,Flaming arrow,Night's Watch brother,4,1
349,9,Wildling,Free Folk,Castle Black,Arrow,Night's Watch brother,4,1
350,9,Wildling,Free Folk,Castle Black,Arrow,Night's Watch brother,4,1
351,9,Alliser Thorne,Night's Watch,Castle Black,Sword,Wildling,4,1
352,9,Thenn raider,Free Folk,Castle Black,Sword,Night's Watch brother,4,1
353,9,Alliser Thorne,Night's Watch,Castle Black,Sword,Thenn raider,4,1
354,9,Tormund,Free Folk,Castle Black,Axe,Night's Watch brother,4,1
355,9,Tormund,Free Folk,Castle Black,Axe,Night's Watch brother,4,1
356,9,Night's Watch brother,Night's Watch,Castle Black,Flaming arrow,Wildling,4,1
357,9,Night's Watch brother,Night's Watch,Castle Black,Flaming arrow,Wildling,4,1
358,9,Night's Watch brother,Night's Watch,Castle Black,Flaming arrow,Wildling,4,1
359,9,Night's Watch brother,Night's Watch,Castle Black,Flaming arrow,Wildling,4,1
360,9,Night's Watch brother,Night's Watch,Castle Black,Flaming arrow,Wildling,4,1
362,9,Thenn raider,Free Folk,Castle Black,Axe,Night's Watch brother,4,1
364,9,Night's Watch brother,Night's Watch,Castle Black,Arrow,Wildling,4,1
365,9,Wildling,Free Folk,Castle Black,Knife,Night's Watch brother,4,1
366,9,Styr,Free Folk,Castle Black,Axe,Night's Watch brother,4,1
367,9,Styr,Free Folk,Castle Black,Axe,Night's Watch brother,4,1
368,9,Styr,Free Folk,Castle Black,Axe,Night's Watch brother,4,1
369,9,Ygritte,Free Folk,Castle Black,Arrow,Night's Watch brother,4,1
370,9,Ygritte,Free Folk,Castle Black,Arrow,Night's Watch brother,4,1
371,9,Ygritte,Free Folk,Castle Black,Arrow,Night's Watch brother,4,1
372,9,Night's Watch brother,Night's Watch,Castle Black,Axe,Wildling,4,1
375,9,Wildling,Free Folk,Castle Black,Axe,Night's Watch brother,4,1
376,9,Pypar,Night's Watch,Castle Black,Arrow,Wildling,4,1
377,9,Ygritte,Free Folk,Castle Black,Arrow,Pypar,4,1
385,9,Alliser Thorne,Night's Watch,Castle Black,Sword,Wildling,4,1
386,9,Tormund,Free Folk,Castle Black,Axe,Night's Watch brother,4,1
387,9,Sam Tarly,Night's Watch,Castle Black,Arrow,Thenn raider,4,1
398,9,Wildling,Free Folk,The Wall,Flaming arrow,Night's Watch brother,4,1
401,9,Jon Snow,House Stark,Castle Black,Sword,Wildling,4,1
402,9,Jon Snow,House Stark,Castle Black,Sword,Wildling,4,1
403,9,Jon Snow,House Stark,Castle Black,Sword,Wildling,4,1
404,9,Styr,Free Folk,Castle Black,Axe,Night's Watch brother,4,1
405,9,Tormund,Free Folk,Castle Black,Sword,Night's Watch brother,4,1
406,9,Tormund,Free Folk,Castle Black,Sword,Night's Watch brother,4,1
407,9,Jon Snow,House Stark,Castle Black,Sword,Wildling,4,1
409,9,Jon Snow,House Stark,Castle Black,Sword,Wildling,4,1
410,9,Tormund,Free Folk,Castle Black,Sword,Night's Watch brother,4,1
411,9,Tormund,Free Folk,Castle Black,Sword,Night's Watch brother,4,1
412,9,Styr,Free Folk,Castle Black,Axe,Night's Watch brother,4,1
413,9,Jon Snow,House Stark,Castle Black,Sword,Wildling,4,1
415,9,Olly,Night's Watch,Castle Black,Arrow,Ygritte,4,1
416,9,Wildling,Free Folk,Castle Black,Sword,Night's Watch brother,4,1
426,10,Baratheon of Dragonstone soldier,House Baratheon of Dragonstone,Beyond the Wall,Spear,Wildling,4,1
